Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
Fish,A,EE,,,,,,,,,,,,,,,,,,download/compile and run tiger-desktop & check ciscoStyleCLI
info-doxygen,source : service-manager,doxygen,"python-data:info-doxygen-data.py ,perl-data:info-doxygen.gv",,,,,,,,,,,,,,,,,get doxygen output from service manager souce code
,,,,,# the below CheckPoint value is testcase,# the below CheckPoint value is testcase,,,,,,,,,,,,,,
info-doxygen,perl-data:info-doxygen.gv,info_doxygen.pl,log:service-[name].log,a.log,pass _OR_ ((success)),((failure _AND_ fail)) _OR_ coverage rate,,text,,,info-doxygen/log/service-[name].log,pass,fail,,text,,,,,check whether it is the right doxygen comments
AutoTest_Cmd,common_job_for_upload.sh,project:info-doxygen,log:__result.txt,,((((for each)) _AND_ PP)),,,,,,,pass,fail,,text,,,1,,check whether it is the right doxygen comments
intuitiveui,TestResultFile.txt,intuitiveui.py,email : [$PROJECT_NAME] DailyTest report ${DATE_STR} ,,,,,,,,,,,,,,,,,result to html table
AutoTest_Cmd,job_for_email_report.sh,project:intuitiveui,email : [$PROJECT_NAME] DailyTest report ${DATE_STR},,,,,,,,,,,,,,,1,,result to html table
taf_sldd_statistics,"/var/www/html/DailyTest , data:Alltestcase.txt , data:test_coverage_*.csv , data:TestResultFile.txt , sldd_history.csv",get_sldd.py,"sldd_history.csv , email : [TIGER-INFRA TAF SLDD STATISTICS] sldd status for each model",,,,,,,,,,,,,,,1,,TAF SLDD test report
swit,TestResult_SWIT.txt,swit.py,"email : TAF SLDD result,TestResult_SWIT.html",,,,,,,,,,,,,,,1,,TestResult_SWIT.txt
weekly_work_report_from_jira,"VLM , CodeBeamber",get_work.py,email : [Weekly Report] your 7 days weekly report for your assigned,,,,,,,,,,,,,,,5,,weekly report for developers from VLM and CodeBeamer
UTS,[cmu-project]_src_UTS_[cmu-uts-module],UTS_log,[cmu-project]_log_UTS_LOG_[cmu-uts-module],vgit_src_[cmu-project]_[cmu-uts-module],,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/[TODAY]/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,1,"cmu-project,cmu-uts-module",UTS log check
UTS,[cmu-project]_log_UTS_LOG_[cmu-uts-module],UTS_coverage,[cmu-project]_coverage_UTS_COVERAGE_[cmu-uts-module],vgit_src_[cmu-project]_[cmu-uts-module],,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/[TODAY]/utsOutput/[cmu-uts-module]/all_coverage/index.html,,,,text,,,1,"cmu-project,cmu-uts-module",UTS coverage html result check
